,Date,Open,High,Low,Close,Adj Close,Volume
100,"Jul 24, 2024",582.10,588.87,570.95,574.58,574.58,"1,601,708,271"
101,"Jul 23, 2024",587.92,593.11,578.29,582.10,582.10,"1,839,296,067"
102,"Jul 22, 2024",601.85,605.19,587.77,587.92,587.92,"1,985,538,902"
103,"Jul 21, 2024",593.57,603.66,583.54,601.85,601.85,"1,815,088,659"
104,"Jul 20, 2024",593.71,598.30,587.28,593.57,593.57,"1,585,229,672"
105,"Jul 19, 2024",571.93,598.05,565.97,593.70,593.70,"2,052,978,808"
106,"Jul 18, 2024",568.97,579.34,562.93,571.95,571.95,"1,636,814,280"
107,"Jul 17, 2024",576.56,584.01,565.42,568.91,568.91,"1,739,938,322"
108,"Jul 16, 2024",586.01,587.40,556.67,576.58,576.58,"2,082,707,183"
109,"Jul 15, 2024",544.92,586.54,544.70,586.14,586.14,"2,019,082,961"
110,"Jul 14, 2024",532.38,547.36,532.11,544.82,544.82,"1,486,806,663"
111,"Jul 13, 2024",533.76,539.20,527.76,532.35,532.35,"1,436,156,860"
112,"Jul 12, 2024",525.12,537.32,517.99,533.76,533.76,"1,600,204,226"
113,"Jul 11, 2024",524.58,540.08,521.04,525.14,525.14,"1,685,684,515"
114,"Jul 10, 2024",516.63,529.19,511.84,524.52,524.52,"1,592,646,761"
115,"Jul 9, 2024",510.54,520.65,507.27,516.57,516.57,"1,586,240,513"
116,"Jul 8, 2024",490.71,523.16,472.16,510.61,510.61,"2,305,009,896"
117,"Jul 7, 2024",527.44,527.44,488.96,490.61,490.61,"1,660,301,909"
118,"Jul 6, 2024",497.97,530.45,496.66,527.67,527.67,"1,604,647,597"
119,"Jul 5, 2024",513.61,515.22,456.92,498.00,498.00,"2,865,780,557"
120,"Jul 4, 2024",556.49,556.89,512.42,513.99,513.99,"2,056,945,763"
121,"Jul 3, 2024",579.01,579.94,550.42,556.58,556.58,"1,736,158,280"
122,"Jul 2, 2024",576.60,581.03,573.83,578.98,578.98,"1,528,045,271"
123,"Jul 1, 2024",581.67,587.28,576.14,576.69,576.69,"1,613,874,196"
124,"Jun 30, 2024",569.17,584.08,567.79,581.77,581.77,"1,564,676,508"
125,"Jun 29, 2024",566.49,572.94,566.07,569.13,569.13,"1,375,085,097"
126,"Jun 28, 2024",580.87,584.35,565.01,566.46,566.46,"1,618,598,501"
127,"Jun 27, 2024",572.36,583.73,566.43,580.80,580.80,"1,659,378,248"
128,"Jun 26, 2024",578.11,584.20,567.88,572.40,572.40,"1,537,826,836"
129,"Jun 25, 2024",567.65,579.10,566.90,578.10,578.10,"1,581,413,208"
130,"Jun 24, 2024",577.22,581.24,552.94,567.58,567.58,"2,033,721,646"
131,"Jun 23, 2024",590.67,592.77,576.06,577.21,577.21,"1,444,372,224"
132,"Jun 22, 2024",585.90,590.94,581.14,590.76,590.76,"1,387,634,576"
133,"Jun 21, 2024",587.11,588.71,578.02,585.91,585.91,"1,672,110,625"
134,"Jun 20, 2024",598.77,607.40,584.76,587.11,587.11,"1,817,442,036"
135,"Jun 19, 2024",588.58,605.73,587.01,598.77,598.77,"1,788,904,109"
136,"Jun 18, 2024",604.33,604.65,575.76,588.70,588.70,"2,265,505,402"
137,"Jun 17, 2024",610.07,611.94,592.43,604.47,604.47,"1,797,626,078"
138,"Jun 16, 2024",607.81,611.20,601.48,610.05,610.05,"1,428,836,675"
139,"Jun 15, 2024",603.11,609.05,601.59,607.80,607.80,"1,471,028,668"
140,"Jun 14, 2024",599.48,611.63,590.50,603.18,603.18,"1,848,914,113"
141,"Jun 13, 2024",619.23,619.30,596.31,599.52,599.52,"1,879,189,691"
142,"Jun 12, 2024",602.60,634.68,592.29,619.19,619.19,"2,221,546,160"
143,"Jun 11, 2024",624.40,628.26,597.04,602.56,602.56,"2,604,834,485"
144,"Jun 10, 2024",673.34,674.31,615.77,624.39,624.39,"3,184,376,694"
145,"Jun 9, 2024",682.66,684.76,670.81,673.32,673.32,"1,856,183,346"
146,"Jun 8, 2024",683.37,694.31,678.65,682.67,682.67,"1,966,216,051"
147,"Jun 7, 2024",710.46,710.84,665.18,683.36,683.36,"2,987,033,806"
148,"Jun 6, 2024",698.89,720.67,692.99,710.46,710.46,"2,997,888,288"
149,"Jun 5, 2024",686.20,712.59,685.78,698.89,698.89,"3,501,231,414"
150,"Jun 4, 2024",626.43,687.40,625.26,686.20,686.20,"3,416,994,948"
151,"Jun 3, 2024",603.05,637.25,601.18,626.43,626.43,"2,952,110,605"
152,"Jun 2, 2024",601.30,604.98,596.16,603.03,603.03,"1,667,233,984"
153,"Jun 1, 2024",593.52,607.58,592.68,601.30,601.30,"1,520,074,486"
154,"May 31, 2024",595.03,598.42,589.77,593.52,593.52,"1,590,349,553"
155,"May 30, 2024",594.97,601.67,586.56,595.03,595.03,"1,737,524,745"
156,"May 29, 2024",601.21,602.93,592.97,594.97,594.97,"1,642,696,946"
157,"May 28, 2024",603.53,604.99,593.72,601.21,601.21,"1,852,329,404"
158,"May 27, 2024",599.83,613.39,599.70,603.53,603.53,"1,691,663,828"
159,"May 26, 2024",602.19,604.83,598.70,599.83,599.83,"1,372,657,185"
160,"May 25, 2024",600.23,606.37,599.61,602.19,602.19,"1,392,399,167"
161,"May 24, 2024",598.67,604.31,588.89,600.23,600.23,"1,778,282,198"
162,"May 23, 2024",614.67,616.52,581.95,598.67,598.67,"2,631,566,566"
163,"May 22, 2024",618.42,625.57,610.55,614.67,614.67,"2,138,536,549"
164,"May 21, 2024",600.60,629.86,593.93,618.42,618.42,"3,564,986,916"
165,"May 20, 2024",574.63,601.56,569.52,600.62,600.62,"2,145,457,267"
166,"May 19, 2024",580.48,581.88,572.37,574.63,574.63,"1,298,887,094"
167,"May 18, 2024",581.18,581.99,575.02,580.48,580.48,"1,358,737,176"
168,"May 17, 2024",569.19,584.67,568.84,581.18,581.18,"1,557,134,929"
169,"May 16, 2024",582.10,586.44,565.76,569.19,569.19,"1,911,862,000"
170,"May 15, 2024",566.71,587.42,561.13,582.07,582.07,"1,895,100,260"
171,"May 14, 2024",591.61,592.84,563.42,566.71,566.71,"1,944,063,031"
172,"May 13, 2024",594.42,597.77,585.52,591.61,591.61,"1,636,169,234"
173,"May 12, 2024",592.03,599.18,587.80,594.42,594.42,"1,276,671,115"
174,"May 11, 2024",585.62,594.21,581.90,592.03,592.03,"1,333,662,111"
175,"May 10, 2024",596.03,596.58,582.05,585.62,585.62,"1,521,708,160"
176,"May 9, 2024",588.20,602.59,586.73,596.03,596.03,"1,897,318,659"
177,"May 8, 2024",577.49,589.57,575.15,588.20,588.20,"1,603,241,013"
178,"May 7, 2024",588.48,599.94,576.72,577.49,577.49,"1,535,678,414"
179,"May 6, 2024",592.14,601.89,583.37,588.48,588.48,"1,522,319,999"
180,"May 5, 2024",585.85,595.00,580.25,592.14,592.14,"531,182,053"
181,"May 4, 2024",587.02,593.19,583.30,585.85,585.85,"582,273,374"
182,"May 3, 2024",560.53,590.24,559.45,587.01,587.01,"854,728,192"
183,"May 2, 2024",561.41,565.46,543.52,560.53,560.53,"877,449,354"
184,"May 1, 2024",578.49,579.33,538.05,561.41,561.41,"1,502,825,527"
185,"Apr 30, 2024",592.83,603.32,556.17,578.49,578.49,"1,727,881,192"
186,"Apr 29, 2024",600.07,602.60,583.34,592.83,592.83,"868,114,786"
187,"Apr 28, 2024",595.72,607.82,595.72,600.07,600.07,"681,109,845"
188,"Apr 27, 2024",597.71,599.28,586.15,595.72,595.72,"781,864,034"
189,"Apr 26, 2024",614.01,614.83,597.18,597.71,597.71,"817,787,521"
190,"Apr 25, 2024",608.09,617.81,601.78,614.01,614.01,"1,161,642,323"
191,"Apr 24, 2024",606.84,617.31,592.94,608.09,608.09,"1,518,718,475"
192,"Apr 23, 2024",605.58,613.54,599.94,606.84,606.84,"1,380,221,181"
193,"Apr 22, 2024",579.61,608.52,579.14,605.58,605.58,"1,300,340,623"
194,"Apr 21, 2024",570.96,582.27,567.17,579.62,579.62,"782,061,076"
195,"Apr 20, 2024",554.89,574.10,549.80,570.96,570.96,"697,007,137"
196,"Apr 19, 2024",552.17,564.54,525.03,554.89,554.89,"1,320,094,794"
197,"Apr 18, 2024",534.41,555.04,527.43,552.17,552.17,"1,439,312,699"
198,"Apr 17, 2024",537.83,548.04,514.11,534.42,534.42,"1,411,927,485"
199,"Apr 16, 2024",552.87,554.10,524.22,537.83,537.83,"1,299,731,119"
200,"Apr 15, 2024",567.22,585.49,546.87,552.87,552.87,"1,488,692,418"
201,"Apr 14, 2024",554.30,570.26,537.18,567.22,567.22,"1,724,305,772"
202,"Apr 13, 2024",596.37,599.89,517.27,554.30,554.30,"2,660,310,655"
203,"Apr 12, 2024",604.89,626.98,575.58,596.38,596.38,"2,619,549,858"
204,"Apr 11, 2024",610.08,617.47,592.60,604.89,604.89,"1,299,527,568"
205,"Apr 10, 2024",580.83,610.48,574.46,610.08,610.08,"1,654,268,255"
206,"Apr 9, 2024",586.90,589.67,574.14,580.83,580.83,"1,988,165,022"
207,"Apr 8, 2024",584.10,600.89,577.98,586.90,586.90,"1,739,232,272"
208,"Apr 7, 2024",585.97,590.89,578.72,584.10,584.10,"1,374,676,397"
209,"Apr 6, 2024",578.97,590.60,575.92,585.97,585.97,"1,328,988,130"
210,"Apr 5, 2024",585.48,591.33,565.75,578.97,578.97,"1,983,792,648"
211,"Apr 4, 2024",562.02,597.84,561.35,585.44,585.44,"2,340,488,273"
212,"Apr 3, 2024",550.68,568.00,540.25,562.02,562.02,"2,096,610,785"
213,"Apr 2, 2024",576.38,578.13,546.87,550.68,550.68,"2,480,273,065"
214,"Apr 1, 2024",606.91,607.65,570.05,576.40,576.40,"2,020,241,864"
215,"Mar 31, 2024",601.01,608.66,600.88,606.91,606.91,"1,456,592,924"
216,"Mar 30, 2024",612.66,612.99,597.63,601.02,601.02,"1,750,650,703"
217,"Mar 29, 2024",583.29,619.97,582.47,612.66,612.66,"2,788,931,743"
218,"Mar 28, 2024",574.51,591.31,574.20,583.27,583.27,"1,986,567,688"
219,"Mar 27, 2024",580.16,584.99,565.51,574.51,574.51,"1,983,797,879"
220,"Mar 26, 2024",587.43,597.01,572.81,580.15,580.15,"2,086,911,757"
221,"Mar 25, 2024",567.99,597.66,565.14,587.43,587.43,"2,490,221,265"
222,"Mar 24, 2024",551.88,572.49,549.53,567.99,567.99,"1,745,465,728"
223,"Mar 23, 2024",551.78,567.54,544.92,551.88,551.88,"1,962,524,597"
224,"Mar 22, 2024",553.25,587.73,535.97,551.78,551.78,"2,949,959,002"
225,"Mar 21, 2024",556.70,570.05,541.66,553.25,553.25,"2,595,135,487"
226,"Mar 20, 2024",507.09,558.95,501.12,556.70,556.70,"3,177,352,364"
227,"Mar 19, 2024",554.56,559.86,498.56,507.08,507.08,"4,346,763,421"
228,"Mar 18, 2024",571.09,586.51,540.85,554.56,554.56,"3,982,384,372"
