,Date,Open,High,Low,Close,Adj Close,Volume
137,"Jun 17, 2024",151.14,151.58,140.14,143.33,143.33,"2,244,770,232"
138,"Jun 16, 2024",145.42,151.13,143.18,151.13,151.13,"1,147,997,523"
139,"Jun 15, 2024",143.07,145.54,143.02,145.41,145.41,"1,065,293,341"
140,"Jun 14, 2024",147.28,148.79,140.12,143.09,143.09,"2,330,458,883"
141,"Jun 13, 2024",155.19,155.19,146.17,147.31,147.31,"2,085,097,655"
142,"Jun 12, 2024",149.42,161.51,145.82,155.18,155.18,"2,853,692,260"
143,"Jun 11, 2024",158.93,159.52,145.87,149.43,149.43,"2,812,642,453"
144,"Jun 10, 2024",162.08,162.83,157.77,158.93,158.93,"1,815,361,482"
145,"Jun 9, 2024",157.96,162.92,156.77,162.08,162.08,"1,475,878,151"
146,"Jun 8, 2024",162.50,163.62,157.54,157.97,157.97,"1,722,237,785"
147,"Jun 7, 2024",170.02,172.44,155.80,162.51,162.51,"3,298,527,575"
148,"Jun 6, 2024",173.48,174.30,167.86,170.02,170.02,"1,965,442,993"
149,"Jun 5, 2024",171.80,175.48,171.38,173.48,173.48,"2,405,906,612"
150,"Jun 4, 2024",164.93,171.82,164.52,171.80,171.80,"2,057,558,426"
151,"Jun 3, 2024",163.25,167.04,161.85,164.92,164.92,"2,182,487,608"
152,"Jun 2, 2024",166.03,166.92,161.65,163.25,163.25,"1,562,269,041"
153,"Jun 1, 2024",165.64,167.74,165.59,166.03,166.03,"1,058,869,941"
154,"May 31, 2024",166.98,170.63,163.93,165.64,165.64,"2,415,920,333"
155,"May 30, 2024",168.07,172.42,163.68,166.98,166.98,"2,932,316,784"
156,"May 29, 2024",168.65,173.64,167.32,168.07,168.07,"2,852,496,248"
157,"May 28, 2024",170.00,173.02,164.97,168.65,168.65,"3,342,283,019"
158,"May 27, 2024",163.35,171.99,163.34,170.00,170.00,"2,745,440,475"
159,"May 26, 2024",168.44,168.44,161.26,163.35,163.35,"2,543,881,488"
160,"May 25, 2024",167.80,170.36,166.11,168.44,168.44,"1,875,205,755"
161,"May 24, 2024",175.99,176.03,162.87,167.80,167.80,"4,013,502,065"
162,"May 23, 2024",176.86,180.17,167.40,175.99,175.99,"5,117,258,940"
163,"May 22, 2024",178.12,183.07,175.45,176.86,176.86,"3,833,758,536"
164,"May 21, 2024",186.52,188.49,174.71,178.12,178.12,"4,568,414,163"
165,"May 20, 2024",170.09,187.45,168.03,186.52,186.52,"4,636,864,705"
166,"May 19, 2024",172.54,175.19,166.73,170.09,170.09,"2,300,080,451"
167,"May 18, 2024",169.53,175.78,168.93,172.54,172.54,"2,479,657,643"
168,"May 17, 2024",159.12,171.61,159.12,169.53,169.53,"3,371,355,809"
169,"May 16, 2024",158.19,164.32,156.77,159.12,159.12,"3,498,272,951"
170,"May 15, 2024",142.03,158.64,141.35,158.19,158.19,"3,585,715,674"
171,"May 14, 2024",147.28,148.83,141.91,142.03,142.03,"2,586,166,419"
172,"May 13, 2024",143.52,150.55,138.03,147.28,147.28,"2,556,255,769"
173,"May 12, 2024",145.31,147.57,142.88,143.52,143.52,"936,690,341"
174,"May 11, 2024",146.22,147.43,143.33,145.31,145.31,"1,243,751,505"
175,"May 10, 2024",152.85,155.41,144.94,146.22,146.22,"2,471,594,251"
176,"May 9, 2024",142.29,153.09,140.79,152.85,152.85,"2,249,863,780"
177,"May 8, 2024",148.13,149.81,140.17,142.29,142.29,"2,502,237,557"
178,"May 7, 2024",152.81,159.05,148.08,148.13,148.13,"2,687,619,013"
179,"May 6, 2024",145.71,156.63,145.58,152.80,152.80,"2,926,902,880"
180,"May 5, 2024",146.14,147.92,143.48,145.71,145.71,"2,034,794,725"
181,"May 4, 2024",143.77,148.94,142.57,146.14,146.14,"3,050,187,811"
